,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,tradeable,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,postMarketTime,regularMarketTime,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,corporateActions,marketState,shortName,longName,hasPrePostMarketData,firstTradeDateMilliseconds,exchange,cryptoTradeable,dividendYield,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,epsTrailingTwelveMonths,sharesOutstanding,bookValue,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,marketCap,priceToBook,sourceInterval,exchangeDataDelayedBy,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fullExchangeName,financialCurrency,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,trailingPegRatio,phone,earningsTimestampStart,earningsTimestampEnd,forwardPE,dividendDate,epsForward,52WeekChange,displayName
0,"The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index, with the weight of each stock in the portfolio substantially corresponding to the weight of such stock in the index.",[],[],86400.0,2,640.27,642.67,640.46,644.21,640.27,642.67,640.46,644.21,27.33352,69428191.0,69428191.0,70256782.0,66661750.0,66661750,643.26,643.27,4.0,4.0,0.0113,652629770240.0,481.8,649.48,630.6214,594.52905,5.662,0.008843144,640.3907,USD,False,Large Blend,8.52931,1.0,SPDR State Street Global Advisors,727660800.0,Exchange Traded Fund,0.1942976,0.1397179,ETF,SPY,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933480.0,1756929600,finmb_6160262,America/New_York,EDT,-14400000,us_market,False,0.5419543,643.74,[],POST,SPDR S&P 500,SPDR S&P 500 ETF,True,728317800000,PCX,False,1.13,14.17159,14.17159,652629770000.0,23.551302,917782016.0,429.22,13.118591,0.020802641,49.210938,0.08277297,0.0945,590813003776.0,1.4997903,15,0,-0.0033848372,643.7182,-0.02178955,3.4699707,640.46 - 644.21,NYSEArca,USD,70256782,161.94,0.3361146,481.8 - 649.48,-5.73999,-0.008837825,16.211998,,,,,,,,,
1,"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.",[],[],86400.0,2,565.62,569.23,566.73,571.695,565.62,569.23,566.73,571.695,33.375973,54042836.0,54042836.0,44978516.0,50209900.0,50209900,569.33,570.03,1.0,1.0,0.005,360630321152.0,402.39,583.32,562.4406,518.752,1.77,0.0031293095,565.63,USD,False,Large Growth,10.826,1.12,Invesco,921024000.0,Exchange Traded Fund,0.2502221,0.1401419,ETF,QQQ,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933476.0,1756929601,finmb_8108558,America/New_York,EDT,-14400000,us_market,False,0.7867495,570.07,[],POST,"Invesco QQQ Trust, Series 1",Invesco QQQ Trust,True,921076200000,NGM,False,0.5,18.78989,18.78989,360630321000.0,17.080252,393100000.0,357.774,7.6293945,0.0135648,51.317993,0.098925866,0.2,224094519296.0,1.5933802,15,0,-0.010524595,570.01,-0.05999756,4.450012,566.73 - 571.695,NasdaqGM,USD,44978516,167.68,0.41671014,402.39 - 583.32,-13.25,-0.022714805,22.798025,,,,,,,,,
2,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.",[],[],86400.0,2,233.9,233.27,232.46,235.26,233.9,233.27,232.46,235.26,18.613937,33058578.0,33058578.0,34506817.0,30329000.0,30329000,233.83,233.84,12.0,8.0,0.0113,61791428608.0,171.73,244.98,223.4526,216.42226,2.017,0.008623343,233.81287,USD,False,Small Blend,-0.13833,1.2,iShares,958953600.0,Exchange Traded Fund,0.10622521,0.0946,ETF,IWM,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933395.0,1756929600,finmb_8797658,America/New_York,EDT,-14400000,us_market,False,-0.098330796,233.67,[],POST,iShares Russell 2000 ETF,iShares Russell 2000 ETF,True,959347800000,PCX,False,1.13,12.92023,12.92023,61791429000.0,12.553496,281049984.0,218.694,10.217392,0.045725096,17.247742,0.07969486,0.19,65672949760.0,1.0684792,15,0,0.14122559,234.0,0.33000183,-0.22999573,232.46 - 235.26,NYSEArca,USD,34506817,61.940002,0.3606825,171.73 - 244.98,-11.309998,-0.046167023,9.817362,,1-800-474-2737,,,,,,,
3,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted, market capitalization-weighted index designed to measure large- and mid-capitalization equity market performance of developed markets outside of the U.S. and Canada.",[],[],86400.0,2,90.58,90.45,90.3799,90.795,90.58,90.45,90.3799,90.795,18.002068,14411353.0,14411353.0,13383379.0,13540000.0,13540000,90.71,90.71,12.0,256.0,0.0296,62879424512.0,72.15,93.38,89.8762,83.6757,1.761,0.019441377,90.39698,USD,False,Foreign Large Blend,17.36403,1.07,iShares,997747200.0,Exchange Traded Fund,0.1762998,0.0976488,ETF,EFA,en-US,US,ETF,Delayed Quote,True,HIGH,1756932419.0,1756929600,finmb_8797589,America/New_York,EDT,-14400000,us_market,False,0.15455882,90.72,[],POST,iShares MSCI EAFE ETF,iShares MSCI EAFE ETF,True,998919000000,PCX,False,2.96,4.51994,4.51994,62879425000.0,5.039421,938400000.0,72.471,0.8438034,0.009388508,7.044304,0.08418578,0.32,85131649024.0,1.251811,15,0,0.08818544,90.8,0.08000183,0.13999939,90.3799 - 90.795,NYSEArca,USD,13383379,18.57,0.25738046,72.15 - 93.38,-2.659996,-0.028485715,11.400806,,1-800-474-2737,,,,,,,
4,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure equity market performance in the global emerging markets. The underlying index includes large- and mid-capitalization companies and may change over time.,[],[],86400.0,2,49.82,49.97,49.875,50.07,49.82,49.97,49.875,50.07,15.12276,28992838.0,28992838.0,24505300.0,23462150.0,23462150,49.94,50.01,868.0,1170.0,0.0242,18540843008.0,38.19,50.67,49.114,45.1548,0.76,0.015254918,49.88576,USD,False,Diversified Emerging Mkts,17.12183,1.04,iShares,1049673600.0,Exchange Traded Fund,0.1148574,0.043148197,ETF,EEM,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933180.0,1756929600,finmb_8797528,America/New_York,EDT,-14400000,us_market,False,0.3813702,50.01,[],POST,iShares MSCI Emerging Index Fun,iShares MSCI Emerging Markets ETF,True,1050327000000,PCX,False,2.42,12.19094,12.19094,18540843000.0,3.306936,752400000.0,52.559,0.8959999,0.01824327,4.855198,0.107523404,0.72,37627523072.0,0.95150214,15,0,0.059993193,50.04,0.030002594,0.18999863,49.875 - 50.07,NYSEArca,USD,24505300,11.82,0.3095051,38.19 - 50.67,-0.65999985,-0.013025456,17.223526,,,,,,,,,
5,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index designed to measure the performance of the largest companies in the Chinese equity market that trade on the Stock Exchange of Hong Kong and are available to international investors. The fund is non-diversified.,[],[],86400.0,2,39.26,38.89,38.75,39.01,39.26,38.89,38.75,39.01,11.290199,24753947.0,24753947.0,29295677.0,30972740.0,30972740,38.93,38.94,1171.0,1065.0,0.0257,6325515264.0,25.29,39.58,37.7688,34.55195,0.831,0.021166582,39.15886,USD,False,China Region,24.1253,1.37,iShares,1096934400.0,Exchange Traded Fund,0.1342935,-0.0007549,ETF,FXI,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933404.0,1756929600,finmb_22701347,America/New_York,EDT,-14400000,us_market,False,-0.8914888,38.91,[],POST,iShares China Large-Cap ETF,iShares China Large-Cap ETF,True,1097242200000,PCX,False,2.57,11.91748,11.91748,6325515300.0,3.446352,129450000.0,40.356,1.141201,0.030215444,4.3580513,0.1261304,0.74,5036899328.0,0.9641689,15,0,0.02569602,38.92,0.0099983215,-0.34999847,38.75 - 39.01,NYSEArca,USD,29295677,13.619999,0.5385527,25.29 - 39.58,-0.670002,-0.01692779,51.11624,,1-800-474-2737,1484832600.0,1485178200.0,,,,,
6,"The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Financial companies by the Global Industry Classification Standard, including securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. The fund is non-diversified.",[],[],86400.0,2,53.59,53.5,53.13,53.595,53.59,53.5,53.13,53.595,18.69651,36404177.0,36404177.0,36650817.0,33611520.0,33611520,53.48,53.6,835.0,249.0,0.0138,52847558656.0,42.21,54.14,52.53,50.4188,0.58,0.010822915,53.60075,USD,False,Financial,9.1279,1.0,SPDR State Street Global Advisors,913766400.0,Exchange Traded Fund,0.1975525,0.18138121,ETF,XLF,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933422.0,1756929600,finmb_8795483,America/New_York,EDT,-14400000,us_market,False,-0.16794206,53.5,[],POST,SPDR Select Sector Fund - Finan,The Financial Select Sector SPDR Fund,True,914337000000,PCX,False,1.38,7.68104,7.68104,52847559000.0,2.8614967,883444992.0,34.017,0.9700012,0.018465662,3.0811996,0.061112117,0.08,47264305152.0,1.5727432,15,0,0.093456514,53.55,0.049999237,-0.09000015,53.13 - 53.595,NYSEArca,USD,36650817,11.290001,0.26747218,42.21 - 54.14,-0.6399994,-0.011821193,17.90979,,,,,,,,,
7,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.",[],[],86400.0,2,259.8,261.13,259.4,261.87,259.8,261.13,259.4,261.87,37.937057,7786036.0,7786036.0,6244062.0,7536560.0,7536560,261.29,261.1,2.0,6.0,0.0058999998,83664068608.0,172.45,270.05,259.689,234.3692,1.103,0.004245574,259.89667,USD,False,Technology,13.28211,1.22,SPDR State Street Global Advisors,913766400.0,Exchange Traded Fund,0.2606467,0.1632617,ETF,XLK,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933396.0,1756929600,finmb_8795639,America/New_York,EDT,-14400000,us_market,False,0.59661984,261.35,[],POST,SPDR Select Sector Fund - Techn,The Technology Select Sector SPDR Fund,True,914337000000,PCX,False,0.59,25.05235,25.05235,83664069000.0,6.889043,272056000.0,149.355,1.6610107,0.006396154,26.980804,0.11512095,0.08,71101833216.0,1.7498578,15,0,0.0,261.35,0.0,1.5500183,259.4 - 261.87,NYSEArca,USD,6244062,88.90001,0.5155118,172.45 - 270.05,-8.699982,-0.03221619,23.908997,,,,,,,,,
8,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.",[],[],86400.0,2,90.52,89.8,88.1901,90.545,90.52,89.8,88.1901,90.545,16.34204,17997316.0,17997316.0,18259845.0,12681290.0,12681290,88.51,88.69,164.0,74.0,0.0328,27290001408.0,74.49,97.92,86.645,87.42455,2.16,0.023862131,90.52405,USD,False,Equity Energy,3.43759,0.72,SPDR State Street Global Advisors,913766400.0,Exchange Traded Fund,0.0794326,0.2572692,ETF,XLE,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933483.0,1756929600,finmb_8795479,America/New_York,EDT,-14400000,us_market,False,-2.242597,88.49,[],POST,SPDR Select Sector Fund - Energ,The Energy Select Sector SPDR Fund,True,914337000000,PCX,False,3.28,9.19191,9.19191,27290001400.0,5.414869,186424000.0,52.115,1.8450012,0.0212938,1.065445,0.012187022,0.08,16496659456.0,1.6979755,15,0,0.05650701,88.54,0.05000305,-2.0299988,88.1901 - 90.545,NYSEArca,USD,18259845,14.0,0.1879447,74.49 - 97.92,-9.43,-0.09630311,3.1214356,,,,,,,,,
9,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified.",[],[],86400.0,2,137.56,137.11,136.24,137.745,137.56,137.11,136.24,137.745,24.739145,12557820.0,12557820.0,13621937.0,11584810.0,11584810,136.84,137.1,36.0,65.0,0.0184,32450201600.0,127.35,159.64,134.377,139.2493,1.81,0.013157895,137.51382,USD,False,Health,-4.36092,0.61,SPDR State Street Global Advisors,913766400.0,Exchange Traded Fund,0.0494316,0.0634766,ETF,XLV,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933395.0,1756929600,finmb_8795490,America/New_York,EDT,-14400000,us_market,False,-0.47251666,136.91,[],POST,SPDR Select Sector Fund - Healt,The Health Care Select Sector SPDR Fund,True,914337000000,PCX,False,1.84,-6.74715,-6.74715,32450201600.0,5.5341444,197415008.0,127.256,2.5330048,0.018849988,-2.3392944,-0.016799327,0.08,27028088832.0,1.0758629,15,0,0.0,136.91,0.0,-0.6499939,136.24 - 137.745,NYSEArca,USD,13621937,9.560005,0.07506875,127.35 - 159.64,-22.729996,-0.14238283,-12.17519,,,,,,,,,
